Protein IDs	Gene names	Ensembl ID	TPM.T1.BR1	TPM.T1.BR2	TPM.T1.BR3	TPM.T1.BR4	TPM.T2.BR1	TPM.T2.BR2	TPM.T2.BR3	TPM.T2.BR4	TPM.MZ.BR1	TPM.MZ.BR2	TPM.MZ.BR3	TPM.MZ.BR4	TPM.FoB.BR1	TPM.FoB.BR2	TPM.FoB.BR3	TPM.FoB.BR4	Copy.number.T1.BR1	Copy.number.T1.BR2	Copy.number.T1.BR3	Copy.number.T1.BR4	Copy.number.T2.BR1	Copy.number.T2.BR2	Copy.number.T2.BR3	Copy.number.T2.BR4	Copy.number.MZ.BR1	Copy.number.MZ.BR2	Copy.number.MZ.BR3	Copy.number.MZ.BR4	Copy.number.FoB.BR1	Copy.number.FoB.BR2	Copy.number.FoB.BR3	Copy.number.FoB.BR4
Q9CX25	9430038I01Rik	ENSMUSG00000040139	21.700361	27.971363	26.282095	21.766372	34.993959	39.679823	25.654752	32.6131	28.495344	29.152074	28.231992	30.315275	38.770765	39.322336	36.865408	37.751318	0	0	0	743.763	0	0	526.488	604.706	0	1730.66	1335.62	1262.23	530.77	0	1190.47	702.664
P58742	Aaas	ENSMUSG00000036678	43.956125	55.896005	50.666139	51.876672	52.691156	59.227251	57.966116	60.479547	53.797754	49.310751	59.238016	42.828703	57.459173	63.103056	62.149088	51.482114	11565.8	12145	10529.1	17465.8	13987.2	12681.2	12110.8	11983.7	21967.2	11585.6	24063.7	17960.2	8428.68	7472.87	12805	6164.32
Q9D2R0	Aacs	ENSMUSG00000029482	42.587232	48.773626	42.861951	47.241212	55.771051	53.513471	52.233984	52.490549	44.672617	41.480524	42.451955	42.694776	58.432687	52.189142	52.089891	42.522733	2012.04	2652.53	5223.12	8729.66	4139.22	4982.2	7539.38	6717.27	18775.4	3621.91	15662.6	9814.52	5000.65	2516.08	13834.8	8945.34
Q9D1A0	Aaed1	ENSMUSG00000021482	33.847395	39.849683	26.082105	32.99418	37.866811	35.665376	31.851015	32.432672	36.005239	33.820463	31.052986	34.297334	43.82406	43.224989	47.765672	47.356401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8R2R3	Aagab	ENSMUSG00000037257	40.848581	44.230127	43.433126	42.794435	33.226827	37.283868	32.551565	31.426511	31.108541	32.847242	29.502363	26.418132	30.23135	26.326038	28.509187	24.047456	1337.07	1281.65	2095.25	1804.97	852.466	2160.45	3239	2635.76	2581.66	1335.22	4863.3	6015.22	448.353	0	3212.35	1628.18
Q3UHJ0	Aak1	ENSMUSG00000057230	11.882452	15.7546	21.708013	14.794967	14.711765	7.851495	14.278895	26.303346	22.792698	23.830213	17.953682	28.056663	18.827215	20.856704	26.232206	19.208978	5415.14	4820.44	6058.59	13131.3	7482.53	6385.86	7972.47	7287.73	21445.4	7892.93	23415.5	15485.5	6486.78	2452.99	10697	11906.5
Q8R0P4	Aamdc	ENSMUSG00000035642	25.562324	23.27688	20.576585	22.0963	23.579393	21.364385	28.229738	25.213436	24.009527	25.980178	21.748989	27.001672	28.010177	24.778516	29.007351	25.841226	12139.3	5559.38	9463.16	10530.9	11612.1	2267.73	11000.4	6250.97	27498.7	15598.6	31867.5	17140.8	8277.03	6166.99	13810.4	23319.5
J3QN89	Aamp	ENSMUSG00000006299	137.37005	164.269693	143.849008	157.100549	175.005853	170.107614	184.943384	176.737604	152.890405	145.3202	149.171564	136.132806	164.985666	173.405847	170.725702	153.937219	2223.07	1088.24	1357.2	3385.18	2977.68	3372.7	3494.46	3229.2	7742.7	4309.64	8538.28	6416.13	1603.65	1391.19	5614.71	4494.41
Q9D2V5	Aar2	ENSMUSG00000027628	20.588405	25.180221	23.459831	22.497345	26.113165	26.793644	28.256914	28.477861	26.191866	26.199472	24.597364	22.470533	33.963003	36.390031	30.627962	32.341547	9328.89	0	536.243	1315.71	749.592	410.888	4571.73	887.631	26050.4	650.387	3129.57	3302.18	172.085	480.287	2809.64	2089.24
Q8BGQ7	Aars	ENSMUSG00000031960	31.117958	37.778162	35.293687	36.550333	40.930318	45.409593	45.10555	46.041044	45.888452	45.381734	53.507085	43.907781	46.152532	47.239095	46.539861	39.19914	20840	16360.3	27635	32434	20061.5	17875.5	23703.8	16406.3	51005.4	20502.2	57373.5	41813.4	14761.9	8717.19	31206	24407.6
